OBJECTID_1 *,Shape *,admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo,Shape_Length,Shape_Area
56,Polygon,Ale,ET040311,<Null>,<Null>,<Null>,Ilu Aba Bora,ET0403,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.404289,0.046154
57,Polygon,Aleltu,ET040617,<Null>,<Null>,<Null>,North Shewa (OR),ET0406,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.263691,0.040526
58,Polygon,Aleme Ketma,ET030599,<Null>,<Null>,<Null>,North Shewa (AM),ET0305,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.087985,0.000353
59,Polygon,Aleta Chuko,ET160016,<Null>,<Null>,<Null>,Sidama,ET1600,Sidama,ET16,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.883064,0.023618
60,Polygon,Aleta Wendo,ET160005,<Null>,<Null>,<Null>,Sidama,ET1600,Sidama,ET16,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.875901,0.016142
61,Polygon,Aleta Wondo town,ET160021,<Null>,<Null>,<Null>,Sidama,ET1600,Sidama,ET16,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.098037,0.000429
62,Polygon,Alfa,ET031115,<Null>,<Null>,<Null>,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,2.397418,0.162681
63,Polygon,Alge Sachi,ET040302,<Null>,<Null>,<Null>,Ilu Aba Bora,ET0403,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.770668,0.071714
64,Polygon,Alicho Woriro,ET072001,<Null>,<Null>,<Null>,Siltie,ET0720,SNNP,ET07,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.983127,0.021543
65,Polygon,Alle Special,ET071205,<Null>,<Null>,<Null>,Alle,ET0712,SNNP,ET07,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.631473,0.064299
66,Polygon,Amaro,ET072102,<Null>,<Null>,<Null>,Amaro,ET0721,SNNP,ET07,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.899146,0.132688
67,Polygon,Ambasel,ET030404,<Null>,<Null>,<Null>,South Wello,ET0304,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.590562,0.073157
68,Polygon,Ambo town,ET040515,<Null>,<Null>,<Null>,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.404888,0.003305
69,Polygon,Ambo Zuria,ET040503,<Null>,<Null>,<Null>,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,2.485346,0.07694
70,Polygon,Ameka,ET070215,<Null>,<Null>,<Null>,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.961248,0.015418
71,Polygon,Ameya,ET041301,<Null>,<Null>,<Null>,South West Shewa,ET0413,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.557855,0.078093
72,Polygon,Amibara,ET020301,<Null>,<Null>,<Null>,Gabi /Zone 3,ET0203,Afar,ET02,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.782297,0.053024
